2019-03-30T01:13:07,540 INFO  [Sample][restartedMain|PlayerRegistrationApplication] 50 logStarting Starting PlayerRegistrationApplication on Srikants-MBP with PID 92547 (/Users/srikantpanda/PlayGround/playerRegistration/target/classes started by srikantpanda in /Users/srikantpanda/PlayGround/playerRegistration)
2019-03-30T01:13:07,548 INFO  [Sample][restartedMain|PlayerRegistrationApplication] 675 logStartupProfileInfo No active profile set, falling back to default profiles: default
2019-03-30T01:13:11,175 INFO  [Sample][restartedMain|PlayerRegistrationApplication] 59 logStarted Started PlayerRegistrationApplication in 4.021 seconds (JVM running for 5.148)
2019-03-30T01:13:11,178 INFO  [Sample][restartedMain|PlayerRegistrationApplication] 22 run Info log
2019-03-30T01:13:21,401 INFO  [Sample][http-nio-9093-exec-2|PlayerServiceImpl] 30 getPlayer Retrieved the players
2019-04-01T21:39:19,528 INFO  [Sample][restartedMain|PlayerRegistrationApplication] 50 logStarting Starting PlayerRegistrationApplication on Srikants-MBP with PID 10818 (/Users/srikantpanda/PlayGround/playerRegistration/target/classes started by srikantpanda in /Users/srikantpanda/PlayGround/playerRegistration)
2019-04-01T21:39:19,541 INFO  [Sample][restartedMain|PlayerRegistrationApplication] 675 logStartupProfileInfo No active profile set, falling back to default profiles: default
2019-04-01T21:39:23,820 INFO  [Sample][restartedMain|PlayerRegistrationApplication] 59 logStarted Started PlayerRegistrationApplication in 4.681 seconds (JVM running for 5.974)
2019-04-01T21:39:23,822 INFO  [Sample][restartedMain|PlayerRegistrationApplication] 22 run Info log
2019-04-01T21:40:16,066 INFO  [Sample][restartedMain|PlayerRegistrationApplication] 50 logStarting Starting PlayerRegistrationApplication on Srikants-MBP with PID 10926 (/Users/srikantpanda/PlayGround/playerRegistration/target/classes started by srikantpanda in /Users/srikantpanda/PlayGround/playerRegistration)
2019-04-01T21:40:16,074 INFO  [Sample][restartedMain|PlayerRegistrationApplication] 675 logStartupProfileInfo No active profile set, falling back to default profiles: default
2019-04-01T21:40:19,589 INFO  [Sample][restartedMain|PlayerRegistrationApplication] 59 logStarted Started PlayerRegistrationApplication in 3.837 seconds (JVM running for 4.785)
2019-04-01T23:05:41,380 INFO  [Sample][restartedMain|PlayerRegistrationApplication] 50 logStarting Starting PlayerRegistrationApplication on Srikants-MBP with PID 18863 (/Users/srikantpanda/PlayGround/playerRegistration/target/classes started by srikantpanda in /Users/srikantpanda/PlayGround/playerRegistration)
2019-04-01T23:05:41,389 INFO  [Sample][restartedMain|PlayerRegistrationApplication] 675 logStartupProfileInfo No active profile set, falling back to default profiles: default
2019-04-01T23:05:45,662 INFO  [Sample][restartedMain|PlayerRegistrationApplication] 59 logStarted Started PlayerRegistrationApplication in 4.622 seconds (JVM running for 5.618)
2019-04-01T23:13:16,852 INFO  [Sample][restartedMain|PlayerRegistrationApplication] 50 logStarting Starting PlayerRegistrationApplication on Srikants-MBP with PID 19577 (/Users/srikantpanda/PlayGround/playerRegistration/target/classes started by srikantpanda in /Users/srikantpanda/PlayGround/playerRegistration)
2019-04-01T23:13:16,862 INFO  [Sample][restartedMain|PlayerRegistrationApplication] 675 logStartupProfileInfo No active profile set, falling back to default profiles: default
2019-04-01T23:13:21,060 INFO  [Sample][restartedMain|PlayerRegistrationApplication] 59 logStarted Started PlayerRegistrationApplication in 4.543 seconds (JVM running for 5.541)
2019-04-01T23:19:54,912 INFO  [Sample][restartedMain|PlayerRegistrationApplication] 50 logStarting Starting PlayerRegistrationApplication on Srikants-MBP with PID 20194 (/Users/srikantpanda/PlayGround/playerRegistration/target/classes started by srikantpanda in /Users/srikantpanda/PlayGround/playerRegistration)
2019-04-01T23:19:54,921 INFO  [Sample][restartedMain|PlayerRegistrationApplication] 675 logStartupProfileInfo No active profile set, falling back to default profiles: default
2019-04-01T23:19:58,984 INFO  [Sample][restartedMain|PlayerRegistrationApplication] 59 logStarted Started PlayerRegistrationApplication in 4.382 seconds (JVM running for 5.337)
2019-04-01T23:21:28,302 INFO  [Sample][restartedMain|PlayerRegistrationApplication] 50 logStarting Starting PlayerRegistrationApplication on Srikants-MBP with PID 20345 (/Users/srikantpanda/PlayGround/playerRegistration/target/classes started by srikantpanda in /Users/srikantpanda/PlayGround/playerRegistration)
2019-04-01T23:21:28,310 INFO  [Sample][restartedMain|PlayerRegistrationApplication] 675 logStartupProfileInfo No active profile set, falling back to default profiles: default
2019-04-01T23:21:32,583 INFO  [Sample][restartedMain|PlayerRegistrationApplication] 59 logStarted Started PlayerRegistrationApplication in 4.566 seconds (JVM running for 5.544)
2019-04-01T23:35:55,141 INFO  [Sample][http-nio-9093-exec-3|PlayerServiceImpl] 38 findById Player is Found
